n,np,time,parallel_reflect,parallel_absorb,parallel_transmit,parallel_prob_reflect,parallel_prob_absorb,parallel_prob_transmit,
75000000,47,0.159496,31787242,14621974,26995040,0.423830,0.194960,0.359934,
75000000,48,0.155416,31777875,14635095,27024530,0.423705,0.195135,0.360327,
75000000,49,0.152464,31780619,14674320,27014448,0.423742,0.195658,0.360193,
75000000,50,0.149977,31782331,14671188,27046481,0.423764,0.195616,0.360620,
75000000,51,0.147161,31843450,14658000,27027961,0.424579,0.195440,0.360373,
75000000,52,0.143974,31858119,14617569,27082004,0.424775,0.194901,0.361093,
75000000,53,0.141725,31792765,14722656,27069484,0.423904,0.196302,0.360926,
75000000,54,0.139120,31863388,14677661,27070061,0.424845,0.195702,0.360934,
75000000,55,0.136952,31797954,14699070,27139339,0.423973,0.195988,0.361858,
75000000,56,0.134079,31845809,14707935,27106970,0.424611,0.196106,0.361426,
75000000,57,0.131416,31876178,14688520,27119512,0.425016,0.195847,0.361593,
75000000,58,0.130551,31876933,14717741,27112221,0.425026,0.196237,0.361496,
75000000,59,0.127970,31912817,14688790,27127206,0.425504,0.195851,0.361696,
75000000,60,0.126288,31947320,14719438,27083241,0.425964,0.196259,0.361110,
75000000,61,0.123066,31876632,14763840,27130019,0.425022,0.196851,0.361734,
75000000,62,0.122355,31866583,14732804,27190933,0.424888,0.196437,0.362546,
75000000,63,0.119975,31890816,14735488,27183218,0.425211,0.196473,0.362443,
75000000,64,0.118099,31927581,14734818,27165726,0.425701,0.196464,0.362210,
100000000,1,9.924827,43273833,19932870,36793297,0.432738,0.199329,0.367933,
100000000,2,4.976959,43265832,19940322,36793846,0.432658,0.199403,0.367938,
100000000,3,3.289935,43286293,19935681,36778026,0.432863,0.199357,0.367780,
100000000,4,2.471903,43264780,19942488,36792732,0.432648,0.199425,0.367927,
100000000,5,1.980519,43264685,19938065,36797250,0.432647,0.199381,0.367972,
100000000,6,1.652927,43269120,19947124,36783756,0.432691,0.199471,0.367838,
100000000,7,1.406732,43275367,19946696,36777937,0.432754,0.199467,0.367779,
100000000,8,1.236807,43256432,19927488,36816080,0.432564,0.199275,0.368161,
100000000,9,1.101283,43262919,19935432,36801649,0.432629,0.199354,0.368016,
100000000,10,0.985739,43272890,19934970,36792140,0.432729,0.199350,0.367921,
100000000,11,0.901685,43283735,19938293,36777972,0.432837,0.199383,0.367780,
100000000,12,0.823926,43265560,19920648,36813792,0.432656,0.199206,0.368138,
100000000,13,0.760339,43278001,19930218,36791781,0.432780,0.199302,0.367918,
100000000,14,0.705218,43251224,19942328,36806448,0.432512,0.199423,0.368064,
100000000,15,0.658700,43239765,19945105,36815130,0.432398,0.199451,0.368151,
100000000,16,0.619854,43282320,19922880,36794800,0.432823,0.199229,0.367948,
100000000,17,0.579580,43270575,19971277,36758148,0.432706,0.199713,0.367581,
100000000,18,0.547637,43280172,19968912,36750916,0.432802,0.199689,0.367509,
100000000,19,0.520003,43293400,19941980,36764620,0.432934,0.199420,0.367646,
100000000,20,0.493479,43281480,19954200,36764320,0.432815,0.199542,0.367643,
100000000,21,0.469955,43243762,19950084,36806154,0.432438,0.199501,0.368062,
100000000,22,0.449655,41308586,19008675,35137284,0.413086,0.190087,0.351373,
100000000,23,0.429275,41353863,19094834,35203476,0.413539,0.190948,0.352035,
100000000,24,0.411505,41495749,19139657,35197928,0.414957,0.191397,0.351979,
100000000,25,0.395129,41512560,19179960,35307480,0.415126,0.191800,0.353075,
100000000,26,0.379763,41613875,19176450,35363521,0.416139,0.191765,0.353635,
100000000,27,0.366733,41673580,19212978,35409738,0.416736,0.192130,0.354097,
100000000,28,0.352532,41720994,19201212,35506365,0.417210,0.192012,0.355064,
100000000,29,0.341220,41802204,19221748,35527772,0.418022,0.192217,0.355278,
100000000,30,0.329917,41879973,19208556,35578138,0.418800,0.192086,0.355781,
100000000,31,0.319281,41897143,19309440,35567610,0.418971,0.193094,0.355676,
100000000,32,0.308888,41933855,19321246,35619899,0.419339,0.193212,0.356199,
100000000,33,0.298886,41945664,19370464,35653568,0.419457,0.193705,0.356536,
100000000,34,0.290525,42013224,19360077,35685522,0.420132,0.193601,0.356855,
100000000,35,0.282258,42041204,19345252,35756401,0.420412,0.193453,0.357564,
100000000,36,0.275470,42101465,19387655,35733102,0.421015,0.193877,0.357331,
100000000,37,0.267490,42153732,19428948,35714616,0.421537,0.194289,0.357146,
100000000,38,0.260738,42108627,19460517,35799276,0.421086,0.194605,0.357993,
100000000,39,0.256429,42149241,19433352,35853304,0.421492,0.194334,0.358533,
100000000,40,0.247303,42232593,19425744,35841663,0.422326,0.194257,0.358417,
100000000,41,0.241361,42194176,19450280,35916520,0.421942,0.194503,0.359165,
100000000,42,0.236073,42250746,19456263,35912038,0.422507,0.194563,0.359120,
100000000,43,0.230521,42176610,19473341,36024466,0.421766,0.194733,0.360245,
100000000,44,0.225516,42312774,19500241,35914256,0.423128,0.195002,0.359143,
100000000,45,0.220537,42254212,19546173,35977391,0.422542,0.195462,0.359774,
100000000,46,0.216651,42360434,19528381,35937270,0.423604,0.195284,0.359373,
100000000,47,0.211710,42312344,19541030,36018966,0.423123,0.195410,0.360190,
100000000,48,0.207408,42311233,19538605,36066828,0.423112,0.195386,0.360668,
100000000,49,0.202642,42352478,19568304,36038400,0.423525,0.195683,0.360384,
100000000,50,0.198675,42430177,19574863,35994959,0.424302,0.195749,0.359950,
100000000,51,0.194639,42478500,19532750,36027964,0.424785,0.195327,0.360280,
100000000,52,0.191958,42491313,19518210,36067399,0.424913,0.195182,0.360674,
100000000,53,0.187483,42477211,19548879,36087116,0.424772,0.195489,0.360871,
100000000,54,0.183737,42455226,19614664,36078256,0.424552,0.196147,0.360783,
100000000,55,0.180667,42437142,19596600,36148075,0.424371,0.195966,0.361481,
100000000,56,0.178016,42483044,19590175,36141066,0.424830,0.195902,0.361411,
100000000,57,0.174524,42555968,19548421,36141224,0.425560,0.195484,0.361412,
100000000,58,0.171678,42524850,19578075,36172935,0.425248,0.195781,0.361729,
100000000,59,0.169219,42547756,19605856,36151472,0.425478,0.196059,0.361515,
100000000,60,0.166235,42579356,19598540,36155436,0.425794,0.195985,0.361554,
100000000,61,0.163866,42585839,19564320,36210496,0.425858,0.195643,0.362105,
100000000,62,0.161442,42605462,19555868,36225765,0.426055,0.195559,0.362258,
100000000,63,0.158333,42604292,19668977,36139428,0.426043,0.196690,0.361394,
100000000,64,0.156291,42669396,19620153,36147951,0.426694,0.196202,0.361480,
125000000,1,12.353282,54084633,24937847,45977520,0.432677,0.199503,0.367820,
125000000,2,6.220302,54075006,24923582,46001412,0.432600,0.199389,0.368011,
125000000,3,4.118155,54078045,24942825,45979130,0.432624,0.199543,0.367833,
125000000,4,3.090776,54099204,24942964,45957832,0.432794,0.199544,0.367663,
125000000,5,2.479528,54093155,24923440,45983405,0.432745,0.199388,0.367867,
125000000,6,2.061743,54073566,24940944,45985490,0.432589,0.199528,0.367884,
125000000,7,1.767801,54088446,24939845,45971709,0.432708,0.199519,0.367774,
125000000,8,1.542423,54069560,24937808,45992632,0.432556,0.199502,0.367941,
125000000,9,1.380327,54105470,24897528,45997002,0.432844,0.199180,0.367976,
125000000,10,1.230239,54090310,24944100,45965590,0.432722,0.199553,0.367725,
